county_and_age_group,Female,Male,Excess Females at age group
Kilkenny County Council 40-44,4093,3987,106
Kilkenny County Council 45-49,3959,3927,32
Kilkenny County Council 5-9,3544,3704,-160
Kilkenny County Council 50-54,3572,3521,51
Kilkenny County Council 55-59,3376,3307,69
Kilkenny County Council 60-64,3068,3005,63
Kilkenny County Council 65-69,2577,2661,-84
Kilkenny County Council 70-74,2159,2250,-91
Kilkenny County Council 75-79,1758,1640,118
Kilkenny County Council 80-84,1126,984,142
Kilkenny County Council 85-89,784,501,283
Kilkenny County Council 90-94,322,159,163
Kilkenny County Council 95-99,89,28,61
Laois County Council 0-4,2748,2968,-220
Laois County Council 10-14,3813,4013,-200
Laois County Council 15-19,3249,3388,-139
Laois County Council 20-24,2370,2562,-192
Laois County Council 25-29,2145,2267,-122
Laois County Council 30-34,2773,2624,149
Laois County Council 35-39,3811,3506,305
Laois County Council 40-44,3954,3798,156
Laois County Council 45-49,3428,3396,32
Laois County Council 5-9,3311,3555,-244
Laois County Council 50-54,2982,3226,-244
Laois County Council 55-59,2626,2711,-85
Laois County Council 60-64,2263,2412,-149
Laois County Council 65-69,1946,2013,-67
Laois County Council 70-74,1529,1605,-76
Laois County Council 75-79,1246,1157,89
Laois County Council 80-84,727,643,84
Laois County Council 85-89,451,314,137
Laois County Council 90-94,183,108,75
Laois County Council 95-99,34,12,22
Leitrim County Council 0-4,1054,1091,-37
Leitrim County Council 10-14,1266,1291,-25
Leitrim County Council 15-19,1105,1191,-86
Leitrim County Council 20-24,719,825,-106
Leitrim County Council 25-29,701,734,-33
Leitrim County Council 30-34,1023,847,176
Leitrim County Council 35-39,1206,1111,95
Leitrim County Council 40-44,1358,1280,78
Leitrim County Council 45-49,1244,1236,8
Leitrim County Council 5-9,1206,1253,-47
Leitrim County Council 50-54,1239,1223,16
Leitrim County Council 55-59,1152,1153,-1
Leitrim County Council 60-64,1024,1094,-70
Leitrim County Council 65-69,1036,1053,-17
Leitrim County Council 70-74,839,878,-39
Leitrim County Council 75-79,629,641,-12
Leitrim County Council 80-84,415,370,45
Leitrim County Council 85-89,249,192,57
Leitrim County Council 90-94,135,79,56
Leitrim County Council 95-99,42,11,31
Limerick City & County Council 0-4,5652,5940,-288
Limerick City & County Council 10-14,7121,7458,-337
Limerick City & County Council 15-19,6577,7099,-522
Limerick City & County Council 20-24,6727,6955,-228
Limerick City & County Council 25-29,6291,6222,69
Limerick City & County Council 30-34,6675,6395,280
Limerick City & County Council 35-39,7900,7352,548
Limerick City & County Council 40-44,8191,7942,249
Limerick City & County Council 45-49,7340,7536,-196
Limerick City & County Council 5-9,6503,6800,-297
Limerick City & County Council 50-54,6601,6915,-314
Limerick City & County Council 55-59,6171,6157,14
Limerick City & County Council 60-64,5696,5732,-36
Limerick City & County Council 65-69,5119,5183,-64
Limerick City & County Council 70-74,4531,4432,99
Limerick City & County Council 75-79,3578,3182,396
Limerick City & County Council 80-84,2319,1874,445
Limerick City & County Council 85-89,1330,948,382
Limerick City & County Council 90-94,580,267,313
Limerick City & County Council 95-99,148,56,92
Longford County Council 0-4,1334,1361,-27
Longford County Council 10-14,1784,1896,-112
Longford County Council 15-19,1547,1679,-132
Longford County Council 20-24,1175,1353,-178
Longford County Council 25-29,1174,1119,55
Longford County Council 30-34,1435,1314,121
Longford County Council 35-39,1775,1572,203
Longford County Council 40-44,1914,1908,6
Longford County Council 45-49,1692,1726,-34
Longford County Council 5-9,1600,1753,-153
Longford County Council 50-54,1538,1567,-29
Longford County Council 55-59,1338,1405,-67
Longford County Council 60-64,1220,1240,-20
Longford County Council 65-69,1120,1115,5
Longford County Council 70-74,958,1030,-72
Longford County Council 75-79,774,721,53
Longford County Council 80-84,435,398,37
Longford County Council 85-89,313,236,77
Longford County Council 90-94,139,48,91
Longford County Council 95-99,32,7,25
Louth County Council 0-4,3964,4296,-332
Louth County Council 10-14,5393,5593,-200
Louth County Council 15-19,4887,5087,-200
Louth County Council 20-24,4059,4335,-276
Louth County Council 25-29,3649,3570,79
Louth County Council 30-34,4417,4051,366
Louth County Council 35-39,5341,4657,684
Louth County Council 40-44,5801,5325,476
Louth County Council 45-49,5281,5044,237
Louth County Council 5-9,4839,5009,-170
Louth County Council 50-54,4876,4918,-42
Louth County Council 55-59,4149,4184,-35
Louth County Council 60-64,3538,3542,-4
Louth County Council 65-69,3036,3042,-6
Louth County Council 70-74,2669,2486,183
Louth County Council 75-79,2194,1880,314
Louth County Council 80-84,1382,1168,214
Louth County Council 85-89,836,526,310
Louth County Council 90-94,355,164,191
Louth County Council 95-99,107,25,82
Mayo  County Council 0-4,3745,4017,-272
Mayo  County Council 10-14,4722,4926,-204
Mayo  County Council 15-19,4289,4427,-138
Mayo  County Council 20-24,3100,3168,-68
Mayo  County Council 25-29,2886,2930,-44
Mayo  County Council 30-34,3810,3582,228
Mayo  County Council 35-39,4749,4442,307
Mayo  County Council 40-44,5215,4774,441
Mayo  County Council 45-49,4792,4647,145
Mayo  County Council 5-9,4322,4630,-308
Mayo  County Council 50-54,4689,4650,39
Mayo  County Council 55-59,4669,4559,110
Mayo  County Council 60-64,4515,4387,128
Mayo  County Council 65-69,4144,4157,-13
Mayo  County Council 70-74,3602,3699,-97
Mayo  County Council 75-79,2618,2683,-65
Mayo  County Council 80-84,1792,1552,240
Mayo  County Council 85-89,1185,844,341
Mayo  County Council 90-94,564,269,295
Mayo  County Council 95-99,145,43,102
Meath County Council 0-4,6828,7389,-561
Meath County Council 10-14,9373,9636,-263
Meath County Council 15-19,7762,8189,-427
Meath County Council 20-24,5754,6525,-771
Meath County Council 25-29,5166,5185,-19
Meath County Council 30-34,6972,6206,766
Meath County Council 35-39,8816,7988,828
Meath County Council 40-44,9757,9061,696
Meath County Council 45-49,8848,8710,138
Meath County Council 5-9,8357,8649,-292
Meath County Council 50-54,7629,7792,-163
Meath County Council 55-59,6274,6537,-263
Meath County Council 60-64,5188,5176,12
Meath County Council 65-69,4394,4338,56
Meath County Council 70-74,3728,3590,138
Meath County Council 75-79,2772,2576,196
Meath County Council 80-84,1661,1459,202
Meath County Council 85-89,1005,720,285
Meath County Council 90-94,414,218,196
Meath County Council 95-99,123,40,83
Monaghan County Council 0-4,2081,2251,-170
Monaghan County Council 10-14,2511,2661,-150
Monaghan County Council 15-19,2133,2248,-115
Monaghan County Council 20-24,1526,1788,-262
Monaghan County Council 25-29,1483,1631,-148
Monaghan County Council 30-34,1923,1800,123
Monaghan County Council 35-39,2402,2265,137
Monaghan County Council 40-44,2512,2454,58
Monaghan County Council 45-49,2288,2361,-73
Monaghan County Council 5-9,2352,2474,-122
Monaghan County Council 50-54,2036,2166,-130
Monaghan County Council 55-59,1968,1923,45
Monaghan County Council 60-64,1825,1829,-4
Monaghan County Council 65-69,1561,1664,-103
Monaghan County Council 70-74,1389,1380,9
Monaghan County Council 75-79,1017,1034,-17
Monaghan County Council 80-84,681,538,143
Monaghan County Council 85-89,440,322,118
Monaghan County Council 90-94,202,98,104
Monaghan County Council 95-99,57,6,51
Offaly County Council 0-4,2322,2511,-189
Offaly County Council 10-14,3128,3364,-236
Offaly County Council 15-19,2744,3075,-331
Offaly County Council 20-24,2207,2362,-155
Offaly County Council 25-29,2072,2065,7
Offaly County Council 30-34,2473,2284,189
Offaly County Council 35-39,2986,2775,211
Offaly County Council 40-44,3391,3133,258
Offaly County Council 45-49,2982,3090,-108
Offaly County Council 5-9,2848,2994,-146
Offaly County Council 50-54,2770,2811,-41
Offaly County Council 55-59,2544,2594,-50
Offaly County Council 60-64,2339,2328,11
Offaly County Council 65-69,1978,2035,-57
Offaly County Council 70-74,1736,1703,33
Offaly County Council 75-79,1315,1230,85
Offaly County Council 80-84,850,702,148
Offaly County Council 85-89,567,424,143
Offaly County Council 90-94,212,127,85
Offaly County Council 95-99,54,20,34
Roscommon County Council 0-4,2002,2095,-93
Roscommon County Council 10-14,2489,2657,-168
Roscommon County Council 15-19,2251,2355,-104
Roscommon County Council 20-24,1567,1686,-119
Roscommon County Council 25-29,1455,1514,-59
Roscommon County Council 30-34,1872,1781,91
Roscommon County Council 35-39,2475,2278,197
Roscommon County Council 40-44,2689,2523,166
