,Sex,Single Year of Age,VALUE
4103,Male,25,539
4104,Male,25,437
4105,Male,25,210
4106,Male,25,750
4107,Male,25,1073
4108,Male,25,424
4109,Male,25,517
4110,Male,25,793
4111,Male,25,687
4112,Male,25,627
4113,Male,25,1779
4114,Male,25,1590
4115,Male,25,755
4116,Male,25,1346
4117,Male,25,844
4118,Male,25,654
4119,Male,25,788
4120,Male,25,802
4121,Male,25,142
4122,Male,25,598
4123,Male,25,312
4124,Male,25,359
4125,Male,25,438
4126,Male,25,757
4127,Male,25,316
4128,Male,26,29376
4129,Male,26,330
4130,Male,26,5732
4131,Male,26,1537
4132,Male,26,1841
4133,Male,26,1713
4134,Male,26,1235
4135,Male,26,472
4136,Male,26,459
4137,Male,26,250
4138,Male,26,676
4139,Male,26,1008
4140,Male,26,409
4141,Male,26,527
4142,Male,26,803
4143,Male,26,667
4144,Male,26,586
4145,Male,26,1757
4146,Male,26,1512
4147,Male,26,711
4148,Male,26,1264
4149,Male,26,768
4150,Male,26,641
4151,Male,26,771
4152,Male,26,842
4153,Male,26,156
4154,Male,26,579
4155,Male,26,316
4156,Male,26,316
4157,Male,26,402
4158,Male,26,772
4159,Male,26,324
4160,Male,27,29162
4161,Male,27,349
4162,Male,27,5965
4163,Male,27,1471
4164,Male,27,1809
4165,Male,27,1745
4166,Male,27,1294
4167,Male,27,470
4168,Male,27,482
4169,Male,27,230
4170,Male,27,697
4171,Male,27,992
4172,Male,27,417
4173,Male,27,505
4174,Male,27,743
4175,Male,27,682
4176,Male,27,593
4177,Male,27,1702
4178,Male,27,1526
4179,Male,27,713
4180,Male,27,1229
4181,Male,27,775
4182,Male,27,639
4183,Male,27,730
4184,Male,27,672
4185,Male,27,137
4186,Male,27,556
4187,Male,27,275
4188,Male,27,337
4189,Male,27,380
4190,Male,27,695
4191,Male,27,352
4192,Male,28,28902
4193,Male,28,304
4194,Male,28,5931
4195,Male,28,1412
4196,Male,28,1772
4197,Male,28,1741
4198,Male,28,1226
4199,Male,28,480
4200,Male,28,441
4201,Male,28,224
4202,Male,28,739
4203,Male,28,1021
4204,Male,28,404
4205,Male,28,471
4206,Male,28,740
4207,Male,28,707
4208,Male,28,580
4209,Male,28,1712
4210,Male,28,1514
4211,Male,28,666
4212,Male,28,1153
4213,Male,28,809
4214,Male,28,607
4215,Male,28,704
4216,Male,28,784
4217,Male,28,143
4218,Male,28,598
4219,Male,28,297
4220,Male,28,310
4221,Male,28,389
4222,Male,28,714
4223,Male,28,309
4224,Male,29,29989
4225,Male,29,353
4226,Male,29,6102
4227,Male,29,1431
4228,Male,29,1824
4229,Male,29,1786
4230,Male,29,1329
4231,Male,29,530
4232,Male,29,448
4233,Male,29,205
4234,Male,29,708
4235,Male,29,1091
4236,Male,29,411
4237,Male,29,555
4238,Male,29,760
4239,Male,29,696
4240,Male,29,605
4241,Male,29,1717
4242,Male,29,1603
4243,Male,29,706
4244,Male,29,1230
4245,Male,29,823
4246,Male,29,622
4247,Male,29,737
4248,Male,29,847
4249,Male,29,156
4250,Male,29,599
4251,Male,29,314
4252,Male,29,327
4253,Male,29,390
4254,Male,29,754
4255,Male,29,330
4256,Male,30,30858
4257,Male,30,367
4258,Male,30,6163
4259,Male,30,1511
4260,Male,30,1888
4261,Male,30,1819
4262,Male,30,1372
4263,Male,30,513
4264,Male,30,470
4265,Male,30,263
4266,Male,30,769
4267,Male,30,1097
4268,Male,30,447
4269,Male,30,523
4270,Male,30,877
4271,Male,30,688
4272,Male,30,582
4273,Male,30,1703
4274,Male,30,1672
4275,Male,30,792
4276,Male,30,1250
4277,Male,30,827
4278,Male,30,719
4279,Male,30,677
4280,Male,30,813
4281,Male,30,164
4282,Male,30,657
4283,Male,30,315
4284,Male,30,334
4285,Male,30,416
4286,Male,30,788
4287,Male,30,382
4288,Male,31,32237
4289,Male,31,349
4290,Male,31,6287
4291,Male,31,1510
4292,Male,31,2061
4293,Male,31,1898
4294,Male,31,1396
4295,Male,31,599
4296,Male,31,509
4297,Male,31,232
4298,Male,31,796
4299,Male,31,1252
4300,Male,31,443
4301,Male,31,602
4302,Male,31,945
4303,Male,31,783
4304,Male,31,623
