,Sex,Single Year of Age,VALUE
5985,Male,84,87
5986,Male,84,739
5987,Male,84,410
5988,Male,84,277
5989,Male,84,290
5990,Male,84,218
5991,Male,84,159
5992,Male,84,106
5993,Male,84,66
5994,Male,84,194
5995,Male,84,204
5996,Male,84,105
5997,Male,84,116
5998,Male,84,254
5999,Male,84,214
6000,Male,84,187
6001,Male,84,309
6002,Male,84,461
6003,Male,84,276
6004,Male,84,278
6005,Male,84,272
6006,Male,84,167
6007,Male,84,88
6008,Male,84,297
6009,Male,84,57
6010,Male,84,232
6011,Male,84,119
6012,Male,84,110
6013,Male,84,107
6014,Male,84,272
6015,Male,84,94
6016,Male,85,6154
6017,Male,85,64
6018,Male,85,677
6019,Male,85,367
6020,Male,85,246
6021,Male,85,250
6022,Male,85,206
6023,Male,85,126
6024,Male,85,84
6025,Male,85,65
6026,Male,85,143
6027,Male,85,200
6028,Male,85,127
6029,Male,85,130
6030,Male,85,216
6031,Male,85,178
6032,Male,85,174
6033,Male,85,252
6034,Male,85,457
6035,Male,85,244
6036,Male,85,259
6037,Male,85,243
6038,Male,85,183
6039,Male,85,81
6040,Male,85,266
6041,Male,85,53
6042,Male,85,219
6043,Male,85,109
6044,Male,85,114
6045,Male,85,108
6046,Male,85,234
6047,Male,85,79
6048,Male,86,5370
6049,Male,86,73
6050,Male,86,574
6051,Male,86,335
6052,Male,86,207
6053,Male,86,226
6054,Male,86,153
6055,Male,86,118
6056,Male,86,81
6057,Male,86,61
6058,Male,86,125
6059,Male,86,186
6060,Male,86,94
6061,Male,86,111
6062,Male,86,183
6063,Male,86,161
6064,Male,86,158
6065,Male,86,236
6066,Male,86,412
6067,Male,86,179
6068,Male,86,235
6069,Male,86,210
6070,Male,86,168
6071,Male,86,71
6072,Male,86,235
6073,Male,86,38
6074,Male,86,204
6075,Male,86,106
6076,Male,86,92
6077,Male,86,98
6078,Male,86,168
6079,Male,86,72
6080,Male,87,4515
6081,Male,87,57
6082,Male,87,509
6083,Male,87,288
6084,Male,87,185
6085,Male,87,203
6086,Male,87,140
6087,Male,87,107
6088,Male,87,65
6089,Male,87,37
6090,Male,87,90
6091,Male,87,142
6092,Male,87,73
6093,Male,87,99
6094,Male,87,140
6095,Male,87,116
6096,Male,87,113
6097,Male,87,219
6098,Male,87,336
6099,Male,87,164
6100,Male,87,191
6101,Male,87,161
6102,Male,87,130
6103,Male,87,52
6104,Male,87,195
6105,Male,87,50
6106,Male,87,155
6107,Male,87,92
6108,Male,87,91
6109,Male,87,75
6110,Male,87,177
6111,Male,87,63
6112,Male,88,3771
6113,Male,88,37
6114,Male,88,444
6115,Male,88,256
6116,Male,88,105
6117,Male,88,138
6118,Male,88,101
6119,Male,88,77
6120,Male,88,52
6121,Male,88,42
6122,Male,88,101
6123,Male,88,111
6124,Male,88,72
6125,Male,88,69
6126,Male,88,153
6127,Male,88,94
6128,Male,88,114
6129,Male,88,163
6130,Male,88,263
6131,Male,88,139
6132,Male,88,148
6133,Male,88,145
6134,Male,88,108
6135,Male,88,66
6136,Male,88,176
6137,Male,88,34
6138,Male,88,154
6139,Male,88,75
6140,Male,88,68
6141,Male,88,83
6142,Male,88,131
6143,Male,88,52
6144,Male,89,3036
6145,Male,89,32
6146,Male,89,354
6147,Male,89,194
6148,Male,89,141
6149,Male,89,131
6150,Male,89,82
6151,Male,89,73
6152,Male,89,32
6153,Male,89,31
6154,Male,89,67
6155,Male,89,81
6156,Male,89,58
6157,Male,89,53
6158,Male,89,98
6159,Male,89,113
6160,Male,89,75
6161,Male,89,133
6162,Male,89,209
6163,Male,89,87
6164,Male,89,115
6165,Male,89,141
6166,Male,89,77
6167,Male,89,42
6168,Male,89,137
6169,Male,89,17
6170,Male,89,112
6171,Male,89,49
6172,Male,89,53
6173,Male,89,55
6174,Male,89,138
6175,Male,89,56
6176,Male,90,2444
6177,Male,90,17
6178,Male,90,271
6179,Male,90,181
6180,Male,90,85
6181,Male,90,121
6182,Male,90,72
6183,Male,90,49
6184,Male,90,26
6185,Male,90,17
6186,Male,90,57
6187,Male,90,67
6188,Male,90,44
6189,Male,90,39
6190,Male,90,78
6191,Male,90,64
6192,Male,90,68
6193,Male,90,113
6194,Male,90,193
6195,Male,90,81
6196,Male,90,93
6197,Male,90,99
6198,Male,90,78
6199,Male,90,34
6200,Male,90,111
6201,Male,90,28
6202,Male,90,99
6203,Male,90,49
6204,Male,90,45
6205,Male,90,39
6206,Male,90,94
6207,Male,90,32
6208,Male,91,1950
6209,Male,91,27
6210,Male,91,244
6211,Male,91,128
6212,Male,91,58
6213,Male,91,91
6214,Male,91,51
6215,Male,91,45
6216,Male,91,40
6217,Male,91,11
6218,Male,91,37
6219,Male,91,56
6220,Male,91,29
6221,Male,91,36
6222,Male,91,62
6223,Male,91,61
6224,Male,91,49
6225,Male,91,95
6226,Male,91,148
6227,Male,91,76
6228,Male,91,69
6229,Male,91,80
6230,Male,91,63
6231,Male,91,34
6232,Male,91,74
6233,Male,91,21
6234,Male,91,69
6235,Male,91,40
6236,Male,91,30
6237,Male,91,36
6238,Male,91,71
6239,Male,91,19
6240,Male,92,1297
6241,Male,92,14
6242,Male,92,169
6243,Male,92,93
6244,Male,92,42
6245,Male,92,50
6246,Male,92,41
6247,Male,92,25
6248,Male,92,17
6249,Male,92,7
6250,Male,92,34
6251,Male,92,41
6252,Male,92,25
6253,Male,92,29
6254,Male,92,45
6255,Male,92,33
6256,Male,92,28
6257,Male,92,60
6258,Male,92,93
6259,Male,92,40
6260,Male,92,47
6261,Male,92,68
6262,Male,92,33
6263,Male,92,19
6264,Male,92,59
6265,Male,92,12
6266,Male,92,44
6267,Male,92,22
6268,Male,92,16
6269,Male,92,15
6270,Male,92,54
6271,Male,92,22
6272,Male,93,937
6273,Male,93,4
6274,Male,93,125
6275,Male,93,68
6276,Male,93,38
6277,Male,93,31
6278,Male,93,33
6279,Male,93,21
6280,Male,93,17
6281,Male,93,6
6282,Male,93,25
6283,Male,93,34
6284,Male,93,9
6285,Male,93,16
6286,Male,93,34
6287,Male,93,20
6288,Male,93,20
6289,Male,93,38
6290,Male,93,64
6291,Male,93,35
6292,Male,93,34
6293,Male,93,45
6294,Male,93,25
6295,Male,93,10
6296,Male,93,38
6297,Male,93,10
6298,Male,93,29
6299,Male,93,20
6300,Male,93,16
6301,Male,93,15
6302,Male,93,41
6303,Male,93,16
6304,Male,94,718
6305,Male,94,6
6306,Male,94,98
6307,Male,94,65
6308,Male,94,24
6309,Male,94,28
6310,Male,94,25
6311,Male,94,19
6312,Male,94,8
6313,Male,94,7
6314,Male,94,11
6315,Male,94,20
6316,Male,94,20
6317,Male,94,11
6318,Male,94,22
6319,Male,94,23
6320,Male,94,14
6321,Male,94,17
6322,Male,94,43
6323,Male,94,22
6324,Male,94,24
6325,Male,94,28
6326,Male,94,17
6327,Male,94,9
6328,Male,94,39
6329,Male,94,8
6330,Male,94,28
6331,Male,94,23
6332,Male,94,12
6333,Male,94,12
6334,Male,94,26
6335,Male,94,9
6336,Male,95,482
6337,Male,95,2
6338,Male,95,71
6339,Male,95,40
6340,Male,95,14
6341,Male,95,23
6342,Male,95,14
6343,Male,95,8
6344,Male,95,5
6345,Male,95,1
6346,Male,95,11
6347,Male,95,19
6348,Male,95,8
6349,Male,95,12
6350,Male,95,15
6351,Male,95,15
6352,Male,95,13
6353,Male,95,19
6354,Male,95,37
6355,Male,95,10
6356,Male,95,18
6357,Male,95,21
6358,Male,95,4
6359,Male,95,4
6360,Male,95,29
6361,Male,95,7
6362,Male,95,12
6363,Male,95,8
6364,Male,95,5
6365,Male,95,8
6366,Male,95,28
6367,Male,95,1
6368,Male,96,327
6369,Male,96,3
6370,Male,96,58
6371,Male,96,34
6372,Male,96,16
6373,Male,96,7
6374,Male,96,8
6375,Male,96,9
6376,Male,96,1
6377,Male,96,3
6378,Male,96,5
6379,Male,96,9
6380,Male,96,8
6381,Male,96,7
6382,Male,96,9
6383,Male,96,12
6384,Male,96,12
6385,Male,96,11
6386,Male,96,18
6387,Male,96,9
6388,Male,96,14
6389,Male,96,7
6390,Male,96,7
6391,Male,96,3
6392,Male,96,7
6393,Male,96,0
6394,Male,96,10
6395,Male,96,9
6396,Male,96,7
6397,Male,96,7
6398,Male,96,14
6399,Male,96,3
6400,Male,97,217
6401,Male,97,2
6402,Male,97,28
6403,Male,97,14
6404,Male,97,11
6405,Male,97,9
6406,Male,97,7
6407,Male,97,5
6408,Male,97,2
6409,Male,97,2
6410,Male,97,5
6411,Male,97,6
6412,Male,97,3
6413,Male,97,5
6414,Male,97,6
6415,Male,97,4
6416,Male,97,11
6417,Male,97,11
6418,Male,97,16
6419,Male,97,13
6420,Male,97,9
6421,Male,97,6
6422,Male,97,5
6423,Male,97,2
6424,Male,97,8
6425,Male,97,3
6426,Male,97,10
6427,Male,97,1
6428,Male,97,4
6429,Male,97,3
6430,Male,97,6
6431,Male,97,0
6432,Male,98,130
6433,Male,98,2
6434,Male,98,24
6435,Male,98,10
6436,Male,98,3
6437,Male,98,4
6438,Male,98,3
6439,Male,98,2
6440,Male,98,4
6441,Male,98,0
6442,Male,98,3
6443,Male,98,3
6444,Male,98,1
6445,Male,98,3
6446,Male,98,4
6447,Male,98,4
6448,Male,98,3
6449,Male,98,3
6450,Male,98,7
6451,Male,98,4
6452,Male,98,9
6453,Male,98,5
6454,Male,98,4
6455,Male,98,1
6456,Male,98,5
6457,Male,98,1
6458,Male,98,9
6459,Male,98,1
6460,Male,98,1
6461,Male,98,1
6462,Male,98,4
6463,Male,98,2
6464,Male,99,105
6465,Male,99,1
6466,Male,99,15
6467,Male,99,6
6468,Male,99,2
6469,Male,99,7
6470,Male,99,1
6471,Male,99,4
6472,Male,99,0
6473,Male,99,1
6474,Male,99,1
6475,Male,99,3
6476,Male,99,0
6477,Male,99,3
6478,Male,99,6
6479,Male,99,1
6480,Male,99,3
6481,Male,99,4
6482,Male,99,8
6483,Male,99,3
6484,Male,99,6
6485,Male,99,5
6486,Male,99,4
6487,Male,99,3
6488,Male,99,6
6489,Male,99,0
6490,Male,99,2
6491,Male,99,3
6492,Male,99,2
6493,Male,99,0
6494,Male,99,5
6495,Male,99,0
6496,Male,100,154
6497,Male,100,0
6498,Male,100,20
6499,Male,100,13
6500,Male,100,4
6501,Male,100,7
6502,Male,100,6
6503,Male,100,6
6504,Male,100,0
6505,Male,100,1
6506,Male,100,5
6507,Male,100,4
6508,Male,100,1
6509,Male,100,3
6510,Male,100,2
6511,Male,100,3
6512,Male,100,3
6513,Male,100,6
6514,Male,100,11
6515,Male,100,2
6516,Male,100,7
6517,Male,100,4
6518,Male,100,4
6519,Male,100,3
6520,Male,100,16
6521,Male,100,0
6522,Male,100,6
6523,Male,100,5
6524,Male,100,3
6525,Male,100,6
6526,Male,100,2
6527,Male,100,1
6560,Female,0,28186
6561,Female,0,353
6562,Female,0,3025
6563,Female,0,1188
6564,Female,0,1950
6565,Female,0,1689
6566,Female,0,1455
6567,Female,0,553
6568,Female,0,545
6569,Female,0,270
6570,Female,0,848
6571,Female,0,1368
6572,Female,0,454
6573,Female,0,535
6574,Female,0,882
6575,Female,0,800
6576,Female,0,691
6577,Female,0,1124
6578,Female,0,2055
6579,Female,0,843
6580,Female,0,1049
6581,Female,0,915
6582,Female,0,662
6583,Female,0,387
6584,Female,0,1073
6585,Female,0,204
6586,Female,0,730
6587,Female,0,366
6588,Female,0,367
6589,Female,0,501
6590,Female,0,881
6591,Female,0,423
6592,Female,1,27545
6593,Female,1,302
6594,Female,1,2762
6595,Female,1,1192
6596,Female,1,1907
6597,Female,1,1751
6598,Female,1,1452
6599,Female,1,545
6600,Female,1,491
6601,Female,1,238
6602,Female,1,722
6603,Female,1,1235
6604,Female,1,446
6605,Female,1,602
6606,Female,1,878
6607,Female,1,820
6608,Female,1,704
6609,Female,1,1136
6610,Female,1,2045
6611,Female,1,739
6612,Female,1,1087
6613,Female,1,872
6614,Female,1,602
6615,Female,1,395
6616,Female,1,1082
6617,Female,1,202
6618,Female,1,790
6619,Female,1,384
6620,Female,1,383
6621,Female,1,477
6622,Female,1,918
6623,Female,1,386
6624,Female,2,28974
6625,Female,2,334
6626,Female,2,2795
6627,Female,2,1238
6628,Female,2,2112
6629,Female,2,1867
6630,Female,2,1559
6631,Female,2,559
6632,Female,2,564
6633,Female,2,243
6634,Female,2,793
6635,Female,2,1388
6636,Female,2,456
6637,Female,2,532
6638,Female,2,921
6639,Female,2,890
6640,Female,2,744
6641,Female,2,1162
6642,Female,2,2106
6643,Female,2,803
6644,Female,2,1130
6645,Female,2,879
6646,Female,2,665
6647,Female,2,386
6648,Female,2,1161
6649,Female,2,229
6650,Female,2,731
6651,Female,2,428
6652,Female,2,360
6653,Female,2,520
6654,Female,2,983
6655,Female,2,436
6656,Female,3,29483
6657,Female,3,378
6658,Female,3,2705
6659,Female,3,1309
6660,Female,3,2161
6661,Female,3,1859
6662,Female,3,1509
6663,Female,3,597
6664,Female,3,571
6665,Female,3,300
6666,Female,3,787
6667,Female,3,1389
6668,Female,3,478
6669,Female,3,558
6670,Female,3,903
6671,Female,3,886
6672,Female,3,745
6673,Female,3,1106
6674,Female,3,2177
6675,Female,3,847
6676,Female,3,1159
6677,Female,3,1019
6678,Female,3,721
6679,Female,3,389
6680,Female,3,1191
6681,Female,3,192
6682,Female,3,743
6683,Female,3,418
6684,Female,3,405
6685,Female,3,525
6686,Female,3,1044
6687,Female,3,412
6688,Female,4,29819
6689,Female,4,369
6690,Female,4,2755
6691,Female,4,1278
6692,Female,4,2147
6693,Female,4,1868
6694,Female,4,1563
6695,Female,4,618
6696,Female,4,577
6697,Female,4,283
6698,Female,4,814
6699,Female,4,1448
6700,Female,4,488
6701,Female,4,609
6702,Female,4,921
6703,Female,4,887
6704,Female,4,766
6705,Female,4,1101
6706,Female,4,2262
6707,Female,4,844
6708,Female,4,1227
6709,Female,4,998
6710,Female,4,634
6711,Female,4,418
6712,Female,4,1189
6713,Female,4,227
6714,Female,4,751
6715,Female,4,406
6716,Female,4,408
6717,Female,4,492
6718,Female,4,1047
6719,Female,4,424
6720,Female,5,31342
6721,Female,5,365
6722,Female,5,2782
6723,Female,5,1426
6724,Female,5,2252
6725,Female,5,1946
6726,Female,5,1604
6727,Female,5,644
6728,Female,5,607
6729,Female,5,299
6730,Female,5,896
6731,Female,5,1520
6732,Female,5,530
6733,Female,5,617
6734,Female,5,1000
6735,Female,5,1013
6736,Female,5,799
6737,Female,5,1186
6738,Female,5,2347
6739,Female,5,935
6740,Female,5,1190
6741,Female,5,987
6742,Female,5,728
6743,Female,5,412
6744,Female,5,1286
6745,Female,5,218
6746,Female,5,832
6747,Female,5,442
6748,Female,5,392
6749,Female,5,544
6750,Female,5,1095
6751,Female,5,448
6752,Female,6,32622
6753,Female,6,367
6754,Female,6,2879
6755,Female,6,1394
6756,Female,6,2361
6757,Female,6,2057
6758,Female,6,1722
6759,Female,6,669
6760,Female,6,630
6761,Female,6,287
6762,Female,6,935
6763,Female,6,1628
6764,Female,6,522
6765,Female,6,668
6766,Female,6,1058
6767,Female,6,1026
6768,Female,6,789
6769,Female,6,1228
6770,Female,6,2434
6771,Female,6,903
6772,Female,6,1317
6773,Female,6,1079
6774,Female,6,780
6775,Female,6,406
6776,Female,6,1361
6777,Female,6,236
6778,Female,6,847
6779,Female,6,473
6780,Female,6,401
6781,Female,6,591
6782,Female,6,1061
6783,Female,6,513
6784,Female,7,33572
6785,Female,7,455
6786,Female,7,2891
6787,Female,7,1469
6788,Female,7,2476
6789,Female,7,2092
6790,Female,7,1776
6791,Female,7,756
6792,Female,7,696
6793,Female,7,345
6794,Female,7,936
6795,Female,7,1665
6796,Female,7,618
6797,Female,7,677
6798,Female,7,1069
6799,Female,7,1045
6800,Female,7,805
6801,Female,7,1195
6802,Female,7,2605
6803,Female,7,946
6804,Female,7,1271
6805,Female,7,1088
6806,Female,7,841
6807,Female,7,433
6808,Female,7,1291
6809,Female,7,239
6810,Female,7,874
6811,Female,7,504
6812,Female,7,426
6813,Female,7,555
6814,Female,7,1075
6815,Female,7,458
6816,Female,8,34437
6817,Female,8,404
6818,Female,8,2991
6819,Female,8,1468
6820,Female,8,2608
6821,Female,8,2183
6822,Female,8,1773
6823,Female,8,702
6824,Female,8,723
6825,Female,8,313
6826,Female,8,1011
6827,Female,8,1712
6828,Female,8,578
6829,Female,8,712
6830,Female,8,1104
6831,Female,8,1105
6832,Female,8,801
6833,Female,8,1246
6834,Female,8,2625
6835,Female,8,919
6836,Female,8,1362
6837,Female,8,1156
6838,Female,8,820
6839,Female,8,480
6840,Female,8,1408
6841,Female,8,255
6842,Female,8,861
6843,Female,8,470
6844,Female,8,461
6845,Female,8,615
6846,Female,8,1095
6847,Female,8,476
6848,Female,9,35227
6849,Female,9,435
6850,Female,9,2930
6851,Female,9,1550
6852,Female,9,2625
6853,Female,9,2224
6854,Female,9,1893
6855,Female,9,773
6856,Female,9,655
6857,Female,9,356
6858,Female,9,1061
6859,Female,9,1832
6860,Female,9,600
6861,Female,9,706
6862,Female,9,1119
6863,Female,9,1161
6864,Female,9,873
6865,Female,9,1271
6866,Female,9,2699
6867,Female,9,1000
6868,Female,9,1363
6869,Female,9,1140
6870,Female,9,826
6871,Female,9,465
6872,Female,9,1345
6873,Female,9,258
6874,Female,9,908
6875,Female,9,483
6876,Female,9,448
6877,Female,9,602
6878,Female,9,1169
6879,Female,9,457
6880,Female,10,36066
6881,Female,10,446
6882,Female,10,3027
6883,Female,10,1449
6884,Female,10,2736
6885,Female,10,2270
6886,Female,10,1890
6887,Female,10,771
6888,Female,10,769
6889,Female,10,361
6890,Female,10,1029
6891,Female,10,1800
6892,Female,10,650
6893,Female,10,690
6894,Female,10,1107
6895,Female,10,1139
6896,Female,10,960
6897,Female,10,1285
6898,Female,10,2831
6899,Female,10,1023
6900,Female,10,1392
6901,Female,10,1185
6902,Female,10,871
6903,Female,10,438
6904,Female,10,1418
6905,Female,10,257
6906,Female,10,939
6907,Female,10,484
6908,Female,10,465
6909,Female,10,661
6910,Female,10,1233
6911,Female,10,490
6912,Female,11,36863
6913,Female,11,450
6914,Female,11,3003
6915,Female,11,1484
6916,Female,11,2660
6917,Female,11,2350
6918,Female,11,1954
6919,Female,11,809
6920,Female,11,729
6921,Female,11,343
6922,Female,11,1066
6923,Female,11,1920
6924,Female,11,608
6925,Female,11,714
6926,Female,11,1190
6927,Female,11,1292
6928,Female,11,913
6929,Female,11,1302
6930,Female,11,2873
6931,Female,11,1074
6932,Female,11,1487
6933,Female,11,1163
6934,Female,11,943
6935,Female,11,480
6936,Female,11,1487
6937,Female,11,265
6938,Female,11,960
6939,Female,11,505
6940,Female,11,459
6941,Female,11,624
6942,Female,11,1254
6943,Female,11,502
6944,Female,12,37297
6945,Female,12,467
6946,Female,12,3048
6947,Female,12,1430
6948,Female,12,2779
6949,Female,12,2396
6950,Female,12,1984
6951,Female,12,775
6952,Female,12,807
6953,Female,12,350
6954,Female,12,1113
6955,Female,12,1912
6956,Female,12,619
6957,Female,12,714
6958,Female,12,1228
6959,Female,12,1264
6960,Female,12,999
6961,Female,12,1334
6962,Female,12,2829
6963,Female,12,1090
6964,Female,12,1362
6965,Female,12,1225
6966,Female,12,949
6967,Female,12,438
6968,Female,12,1413
6969,Female,12,276
6970,Female,12,962
6971,Female,12,539
6972,Female,12,506
6973,Female,12,672
6974,Female,12,1292
6975,Female,12,525
6976,Female,13,36782
6977,Female,13,459
6978,Female,13,2975
6979,Female,13,1432
6980,Female,13,2655
6981,Female,13,2304
6982,Female,13,1909
6983,Female,13,769
6984,Female,13,745
6985,Female,13,378
6986,Female,13,1113
6987,Female,13,1888
6988,Female,13,662
6989,Female,13,683
6990,Female,13,1283
6991,Female,13,1153
6992,Female,13,914
6993,Female,13,1302
6994,Female,13,2897
6995,Female,13,1087
6996,Female,13,1435
6997,Female,13,1246
6998,Female,13,985
6999,Female,13,468
7000,Female,13,1471
7001,Female,13,238
7002,Female,13,919
7003,Female,13,488
7004,Female,13,503
7005,Female,13,634
7006,Female,13,1255
7007,Female,13,532
7008,Female,14,36080
7009,Female,14,465
7010,Female,14,2942
7011,Female,14,1464
7012,Female,14,2584
7013,Female,14,2222
7014,Female,14,1907
7015,Female,14,692
7016,Female,14,763
7017,Female,14,352
7018,Female,14,1072
7019,Female,14,1853
7020,Female,14,589
7021,Female,14,689
7022,Female,14,1200
7023,Female,14,1238
7024,Female,14,894
7025,Female,14,1270
7026,Female,14,2779
7027,Female,14,1098
7028,Female,14,1445
7029,Female,14,1259
7030,Female,14,896
7031,Female,14,425
7032,Female,14,1506
7033,Female,14,230
7034,Female,14,942
7035,Female,14,473
7036,Female,14,467
7037,Female,14,621
7038,Female,14,1281
7039,Female,14,462
7040,Female,15,34492
7041,Female,15,411
7042,Female,15,2729
7043,Female,15,1383
7044,Female,15,2420
7045,Female,15,2126
7046,Female,15,1817
7047,Female,15,760
7048,Female,15,727
7049,Female,15,358
7050,Female,15,1030
7051,Female,15,1729
7052,Female,15,597
7053,Female,15,659
7054,Female,15,1170
7055,Female,15,1125
7056,Female,15,907
7057,Female,15,1228
7058,Female,15,2629
7059,Female,15,1036
7060,Female,15,1335
7061,Female,15,1178
7062,Female,15,872
7063,Female,15,433
7064,Female,15,1394
7065,Female,15,263
7066,Female,15,911
7067,Female,15,491
7068,Female,15,442
7069,Female,15,643
7070,Female,15,1202
7071,Female,15,487
7072,Female,16,33168
7073,Female,16,442
7074,Female,16,2658
7075,Female,16,1352
7076,Female,16,2238
7077,Female,16,1978
7078,Female,16,1713
7079,Female,16,673
7080,Female,16,633
7081,Female,16,327
7082,Female,16,1019
7083,Female,16,1570
7084,Female,16,566
7085,Female,16,635
7086,Female,16,1108
7087,Female,16,1054
7088,Female,16,947
7089,Female,16,1202
7090,Female,16,2562
7091,Female,16,1019
7092,Female,16,1291
7093,Female,16,1152
7094,Female,16,866
7095,Female,16,443
7096,Female,16,1444
7097,Female,16,229
7098,Female,16,933
7099,Female,16,511
7100,Female,16,455
7101,Female,16,550
7102,Female,16,1149
7103,Female,16,449
7104,Female,17,33045
7105,Female,17,414
7106,Female,17,2734
7107,Female,17,1398
7108,Female,17,2195
7109,Female,17,2034
7110,Female,17,1734
7111,Female,17,739
7112,Female,17,718
7113,Female,17,314
7114,Female,17,1009
7115,Female,17,1582
7116,Female,17,524
7117,Female,17,643
7118,Female,17,1062
7119,Female,17,1064
7120,Female,17,890
7121,Female,17,1222
7122,Female,17,2431
7123,Female,17,1046
7124,Female,17,1224
7125,Female,17,1216
7126,Female,17,862
7127,Female,17,416
7128,Female,17,1329
7129,Female,17,226
7130,Female,17,885
7131,Female,17,482
7132,Female,17,452
7133,Female,17,590
7134,Female,17,1130
7135,Female,17,480
7136,Female,18,32852
7137,Female,18,466
7138,Female,18,3291
7139,Female,18,1511
7140,Female,18,2252
7141,Female,18,1949
7142,Female,18,1708
7143,Female,18,699
7144,Female,18,634
7145,Female,18,272
7146,Female,18,953
7147,Female,18,1496
7148,Female,18,584
7149,Female,18,623
7150,Female,18,1084
7151,Female,18,1015
7152,Female,18,830
7153,Female,18,1288
7154,Female,18,2343
7155,Female,18,943
7156,Female,18,1305
7157,Female,18,1046
7158,Female,18,817
7159,Female,18,521
7160,Female,18,1214
7161,Female,18,220
7162,Female,18,876
7163,Female,18,412
7164,Female,18,462
7165,Female,18,533
7166,Female,18,1110
7167,Female,18,395
7168,Female,19,31729
7169,Female,19,381
7170,Female,19,3676
7171,Female,19,1659
7172,Female,19,2191
7173,Female,19,1911
7174,Female,19,1746
7175,Female,19,563
7176,Female,19,537
7177,Female,19,276
7178,Female,19,876
7179,Female,19,1385
7180,Female,19,473
7181,Female,19,532
7182,Female,19,872
7183,Female,19,900
7184,Female,19,821
7185,Female,19,1731
7186,Female,19,1971
7187,Female,19,798
7188,Female,19,1422
7189,Female,19,846
7190,Female,19,767
7191,Female,19,1006
7192,Female,19,1039
7193,Female,19,167
7194,Female,19,684
7195,Female,19,355
7196,Female,19,503
7197,Female,19,436
7198,Female,19,883
7199,Female,19,322
7200,Female,20,31624
7201,Female,20,366
7202,Female,20,4326
7203,Female,20,1742
7204,Female,20,2073
7205,Female,20,1796
7206,Female,20,1589
7207,Female,20,529
7208,Female,20,510
7209,Female,20,246
7210,Female,20,880
7211,Female,20,1276
7212,Female,20,487
7213,Female,20,543
7214,Female,20,832
7215,Female,20,808
7216,Female,20,739
7217,Female,20,1889
7218,Female,20,1783
7219,Female,20,823
7220,Female,20,1504
7221,Female,20,853
7222,Female,20,770
7223,Female,20,1142
7224,Female,20,974
7225,Female,20,159
7226,Female,20,658
7227,Female,20,321
7228,Female,20,450
7229,Female,20,388
7230,Female,20,864
7231,Female,20,304
7232,Female,21,29890
7233,Female,21,381
7234,Female,21,4237
7235,Female,21,1605
7236,Female,21,1833
7237,Female,21,1783
7238,Female,21,1463
7239,Female,21,471
7240,Female,21,491
7241,Female,21,233
7242,Female,21,814
7243,Female,21,1216
7244,Female,21,416
7245,Female,21,525
7246,Female,21,781
7247,Female,21,744
7248,Female,21,697
7249,Female,21,1851
7250,Female,21,1700
7251,Female,21,762
7252,Female,21,1314
7253,Female,21,816
7254,Female,21,709
7255,Female,21,1161
7256,Female,21,840
7257,Female,21,131
7258,Female,21,634
7259,Female,21,345
7260,Female,21,409
7261,Female,21,390
7262,Female,21,821
7263,Female,21,317
7264,Female,22,30768
7265,Female,22,361
7266,Female,22,4719
7267,Female,22,1635
7268,Female,22,1844
7269,Female,22,1851
7270,Female,22,1380
7271,Female,22,438
7272,Female,22,477
7273,Female,22,257
7274,Female,22,866
7275,Female,22,1116
7276,Female,22,413
7277,Female,22,568
7278,Female,22,888
7279,Female,22,789
7280,Female,22,728
7281,Female,22,1835
7282,Female,22,1720
7283,Female,22,766
7284,Female,22,1473
7285,Female,22,873
7286,Female,22,720
7287,Female,22,1069
7288,Female,22,848
7289,Female,22,152
7290,Female,22,670
7291,Female,22,318
7292,Female,22,404
7293,Female,22,414
7294,Female,22,861
7295,Female,22,315
7296,Female,23,30051
7297,Female,23,344
7298,Female,23,5142
7299,Female,23,1681
7300,Female,23,1807
7301,Female,23,1884
7302,Female,23,1391
7303,Female,23,471
7304,Female,23,458
7305,Female,23,232
7306,Female,23,767
7307,Female,23,1063
7308,Female,23,441
7309,Female,23,468
7310,Female,23,868
7311,Female,23,724
7312,Female,23,649
7313,Female,23,1779
7314,Female,23,1603
7315,Female,23,763
7316,Female,23,1246
7317,Female,23,830
7318,Female,23,722
7319,Female,23,927
7320,Female,23,819
7321,Female,23,152
7322,Female,23,623
7323,Female,23,307
7324,Female,23,387
7325,Female,23,439
7326,Female,23,762
7327,Female,23,302
7328,Female,24,29364
7329,Female,24,329
7330,Female,24,5455
7331,Female,24,1661
7332,Female,24,1774
7333,Female,24,1795
7334,Female,24,1335
7335,Female,24,510
7336,Female,24,434
7337,Female,24,207
7338,Female,24,732
7339,Female,24,1083
7340,Female,24,450
7341,Female,24,510
7342,Female,24,758
7343,Female,24,683
7344,Female,24,606
7345,Female,24,1730
7346,Female,24,1559
7347,Female,24,732
7348,Female,24,1190
7349,Female,24,867
7350,Female,24,638
7351,Female,24,872
7352,Female,24,752
7353,Female,24,125
7354,Female,24,515
7355,Female,24,276
7356,Female,24,364
7357,Female,24,398
7358,Female,24,736
7359,Female,24,288
7360,Female,25,29294
7361,Female,25,295
7362,Female,25,5667
7363,Female,25,1578
7364,Female,25,1796
7365,Female,25,1873
7366,Female,25,1307
7367,Female,25,463
7368,Female,25,414
7369,Female,25,231
7370,Female,25,665
7371,Female,25,969
7372,Female,25,430
7373,Female,25,524
7374,Female,25,744
7375,Female,25,658
7376,Female,25,631
7377,Female,25,1733
